"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Active__c","SBQQ__Product__c","SBQQ__UnitCost__c"
"a051N000041nhoPQAQ","false","COST-000324","CAD","true","01t1N00000EURKlQAP","162.4"
"a051N000041nhoqQAA","false","COST-000351","EUR","true","01t1N00000EURM6QAP","36.0"
"a051N000041nhoQQAQ","false","COST-000325","CAD","true","01t1N00000EURKnQAP","182.4"
"a051N000041nhorQAA","false","COST-000352","EUR","true","01t1N00000EURL3QAP","64.4"
"a051N000041nhoRQAQ","false","COST-000326","CAD","true","01t1N00000EURKiQAP","1.2"
"a051N000041nhosQAA","false","COST-000353","EUR","true","01t1N00000EURLbQAP","44.8"
"a051N000041nhoSQAQ","false","COST-000327","CAD","true","01t1N00000EURLnQAP","2592.0"
"a051N000041nhotQAA","false","COST-000354","EUR","true","01t1N00000EURLBQA5","48.0"
"a051N000041nhoTQAQ","false","COST-000328","EUR","true","01t1N00000EURLXQA5","299.6"
"a051N000041nhouQAA","false","COST-000355","EUR","true","01t1N00000EURMJQA5","165.6"
"a051N000041nhoUQAQ","false","COST-000329","EUR","true","01t1N00000EURLuQAP","299.6"
"a051N000041nhovQAA","false","COST-000356","EUR","true","01t1N00000EURKwQAP","305.9"
"a051N000041nhoVQAQ","false","COST-000330","EUR","true","01t1N00000EURLvQAP","319.8"
"a051N000041nhowQAA","false","COST-000357","EUR","true","01t1N00000EURMKQA5","226.4"
"a051N000041nhoWQAQ","false","COST-000331","EUR","true","01t1N00000EURLwQAP","166.8"
"a051N000041nhoxQAA","false","COST-000358","EUR","true","01t1N00000EURLLQA5","349.6"
"a051N000041nhoXQAQ","false","COST-000332","EUR","true","01t1N00000EURLxQAP","324.1"
"a051N000041nhoyQAA","false","COST-000359","EUR","true","01t1N00000EURLKQA5","16.8"
"a051N000041nhoYQAQ","false","COST-000333","EUR","true","01t1N00000EURLyQAP","274.4"
"a051N000041nhozQAA","false","COST-000360","EUR","true","01t1N00000EURLAQA5","66.0"
"a051N000041nhoZQAQ","false","COST-000334","EUR","true","01t1N00000EURLzQAP","332.8"
"a051N000041nhp0QAA","false","COST-000361","EUR","true","01t1N00000EURMLQA5","112.7"
"a051N000041nhp1QAA","false","COST-000362","EUR","true","01t1N00000EURLaQAP","72.8"
"a051N000041nhp2QAA","false","COST-000363","EUR","true","01t1N00000EURMMQA5","32.8"
"a051N000041nhp3QAA","false","COST-000364","EUR","true","01t1N00000EURMNQA5","40.8"
"a051N000041nhp4QAA","false","COST-000365","EUR","true","01t1N00000EURLYQA5","5.4"
